Issuer|Launch_Date|Deal_Amount|Lender|dec_prob|cont_prop|DollarAmt
issuer1|2017-08-19|1000|Company_1|0.752012046985328|0.236202823393978|236
issuer1|2017-08-19|1000|Company_10|0.0489028317388147|0.23549197060056|235
issuer1|2017-08-19|1000|Company_11|0.558564354665577|0.020614144904539|21
issuer1|2017-08-19|1000|Company_12|0.995132642565295|0.0635219929274172|64
issuer1|2017-08-19|1000|Company_13|0.260134663200006|0.0347303201677278|35
issuer1|2017-08-19|1000|Company_14|0.343701005447656|0.269167901272886|269
issuer1|2017-08-19|1000|Company_15|0.545698726084083|0.175749361468479|176
issuer1|2017-08-19|1000|Company_16|0.016590460203588|0.0865668858401477|87
issuer1|2017-08-19|1000|Company_17|0.317836618982255|0.15137285341043|151
issuer1|2017-08-19|1000|Company_18|0.667820502538234|0.278138726879843|278
issuer1|2017-08-19|1000|Company_19|0.239848147844896|0.266739263967611|267
issuer1|2017-08-19|1000|Company_2|0.12912603514269|0.11090069480706|111
issuer1|2017-08-19|1000|Company_20|0.046548273647204|0.112439953023568|112
issuer1|2017-08-19|1000|Company_21|0.486471713287756|0.155539786373265|156
issuer1|2017-08-19|1000|Company_22|0.390098515432328|0.132198221096769|132
issuer1|2017-08-19|1000|Company_23|0.972240026108921|0.0819382710149512|82
issuer1|2017-08-19|1000|Company_24|0.959438343532383|0.0910172568401322|91
issuer1|2017-08-19|1000|Company_25|0.817544889636338|0.0361376421991736|36
issuer1|2017-08-19|1000|Company_26|0.961474623531103|0.00482780984602869|5
issuer1|2017-08-19|1000|Company_27|0.383933835895732|0.0940127615584061|94
issuer1|2017-08-19|1000|Company_28|0.743382696062326|0.16618216750212|166
issuer1|2017-08-19|1000|Company_29|0.579709104495123|0.241957215964794|242
issuer1|2017-08-19|1000|Company_3|0.301466910168529|0.00120873923879117|1
issuer1|2017-08-19|1000|Company_30|0.389647788135335|0.269457732397132|269
issuer1|2017-08-19|1000|Company_31|0.870677586179227|0.0961001715855673|96
issuer1|2017-08-19|1000|Company_32|0.0852416446432471|0.0551377106225118|55
issuer1|2017-08-19|1000|Company_33|0.585619367193431|0.0798268703045324|80
issuer1|2017-08-19|1000|Company_34|0.291665595723316|0.10628488312941|106
issuer1|2017-08-19|1000|Company_35|0.505429283715785|0.278184462315403|278
issuer1|2017-08-19|1000|Company_36|0.123200920876116|0.0154897577594966|15
issuer1|2017-08-19|1000|Company_37|0.991512004286051|0.104644151916727|105
issuer1|2017-08-19|1000|Company_38|0.838415100006387|0.0266034550499171|27
issuer1|2017-08-19|1000|Company_39|0.527504880446941|0.0216224280651659|22
issuer1|2017-08-19|1000|Company_4|0.331204738933593|0.0814679728355259|81
issuer1|2017-08-19|1000|Company_40|0.900309057207778|0.265050890017301|265
issuer1|2017-08-19|1000|Company_41|0.278918874217197|0.0908580800984055|91
issuer1|2017-08-19|1000|Company_42|0.673993106931448|0.113439030619338|113
issuer1|2017-08-19|1000|Company_43|0.0752708383370191|0.131505869608372|132
issuer1|2017-08-19|1000|Company_44|0.843136997427791|0.0842113122576848|84
issuer1|2017-08-19|1000|Company_45|0.105966201983392|0.218347699544393|218
issuer1|2017-08-19|1000|Company_46|0.128292298875749|0.239511353848502|240
issuer1|2017-08-19|1000|Company_47|0.181737421778962|0.283224188536406|283
issuer1|2017-08-19|1000|Company_48|0.80550273694098|0.0740309345768765|74
issuer1|2017-08-19|1000|Company_49|0.597949995659292|0.256515856599435|257
issuer1|2017-08-19|1000|Company_5|0.319416103418916|0.219715834362432|220
issuer1|2017-08-19|1000|Company_50|0.301390327280387|0.196870515891351|197
issuer1|2017-08-19|1000|Company_6|0.738490799441934|0.203382434137166|203
issuer1|2017-08-19|1000|Company_7|0.991326701594517|0.208968499023467|209
issuer1|2017-08-19|1000|Company_8|0.279972211224958|0.0569471242139116|57
issuer1|2017-08-19|1000|Company_9|0.127644142368808|0.0599323488771915|60
issuer1|2017-08-19|2000|Company_1|0.872609710088|0.232583173806779|465
issuer1|2017-08-19|2000|Company_10|0.950422846945003|0.115786836342886|232
issuer1|2017-08-19|2000|Company_11|0.854162241797894|0.132162852957845|264
issuer1|2017-08-19|2000|Company_12|0.263138844631612|0.081717494269833|163
issuer1|2017-08-19|2000|Company_13|0.561050905147567|0.0260988662950695|52
issuer1|2017-08-19|2000|Company_14|0.848943796008825|0.227154105319642|454
issuer1|2017-08-19|2000|Company_15|0.573599476367235|0.0181409357814118|36
issuer1|2017-08-19|2000|Company_16|0.741451514186338|0.0359626921825111|72
issuer1|2017-08-19|2000|Company_17|0.120169267756864|0.0366536130197346|73
issuer1|2017-08-19|2000|Company_18|0.335692829452455|0.157271893462166|315
issuer1|2017-08-19|2000|Company_19|0.495145929278806|0.211493196501397|423
issuer1|2017-08-19|2000|Company_2|0.152790041873232|0.0218706076266244|44
issuer1|2017-08-19|2000|Company_20|0.372684492496774|0.224487565155141|449
issuer1|2017-08-19|2000|Company_21|0.279296034714207|0.149330712016672|299
issuer1|2017-08-19|2000|Company_22|0.0654689632356167|0.0740326115163043|148
issuer1|2017-08-19|2000|Company_23|0.516442307969555|0.107594572193921|215
issuer1|2017-08-19|2000|Company_24|0.0429214164614677|0.23080737835262|462
issuer1|2017-08-19|2000|Company_25|0.1331149735488|0.213975438801572|428
issuer1|2017-08-19|2000|Company_26|0.867111992556602|0.159197220322676|318
issuer1|2017-08-19|2000|Company_27|0.955853884574026|0.0606942950282246|121
issuer1|2017-08-19|2000|Company_28|0.258944492787123|0.0163118986180052|33
issuer1|2017-08-19|2000|Company_29|0.0398585915099829|0.0376496665645391|75
issuer1|2017-08-19|2000|Company_3|0.113186411326751|0.134520585648716|269
issuer1|2017-08-19|2000|Company_30|0.869456868851557|0.112832651403733|226
issuer1|2017-08-19|2000|Company_31|0.582421373575926|0.173603946575895|347
issuer1|2017-08-19|2000|Company_32|0.840943990042433|0.229149877466261|458
issuer1|2017-08-19|2000|Company_33|0.553454936482012|0.0615149316145107|123
issuer1|2017-08-19|2000|Company_34|0.691568823996931|0.137704557809047|275
issuer1|2017-08-19|2000|Company_35|0.658874782035127|0.0853993583936244|171
issuer1|2017-08-19|2000|Company_36|0.0612961363513023|0.160652180830948|321
issuer1|2017-08-19|2000|Company_37|0.375833598198369|0.197900258540176|396
